"ocrSubjNumR","ocrRepNo"
"1.2.1.1","NACA-TN-2130"
"1.2.1.1","NACA-TN-2174"
"1.2.1.1","NACA-TN-2196"
"1.2.1.1","NACA-TN-2211"
"1.2.1.1","NACA-TN-2221"
"1.2.1.1","NACA-TN-2253"
"1.2.1.1","NACA-TN-2273"
"1.2.1.1","NACA-TN-2298"
"1.2.1.1","NACA-TN-2339"
"1.2.1.1","NACA-TN-2350"
"1.2.1.2","NACA-RM-E9H10"
"1.2.1.2","NACA-TN-2228"
"1.2.1.2.1","NACA-TR-903"
"1.2.1.2.1","NACA-TR-947"
"1.2.1.2.1","NACA-TN-1945"
"1.2.1.2.1","NACA-TR-964"
"1.2.1.2.1","NACA-TN-2096"
"1.2.1.2.1","NACA-TN-2177"
"1.2.1.2.1","NACA-TN-2298"
"1.2.1.2.2","NACA-TR-877"
"1.2.1.2.2","NACA-TR-947"
"1.2.1.2.2","NACA-TN-1945"
"1.2.1.2.2","NACA-TR-964"
"1.2.1.2.2","NACA-TN-2009"
"1.2.1.2.2","NACA-TN-2074"
"1.2.1.2.2","NACA-TN-2211"
"1.2.1.2.2","NACA-TN-2221"
"1.2.1.2.2","NACA-TN-2298"
"1.2.1.2.2","NACA-TN-2339"
"1.2.1.2.3","NACA-RM-A7C10"
"1.2.1.2.3","NACA-TR-903"
"1.2.1.2.3","NACA-RM-L8C22"
"1.2.1.2.3","NACA-TR-947"
"1.2.1.2.3","NACA-TN-1945"
"1.2.1.2.3","NACA-TR-964"
"1.2.1.2.3","NACA-TN-2074"
"1.2.1.2.3","NACA-TN-2177"
"1.2.1.2.4","NACA-TR-893"
"1.2.1.2.4","NACA-TM-1279"
"1.2.1.2.4","NACA-TM-1267"
"1.2.1.2.5","NACA-TR-910"
"1.2.1.2.5","NACA-TN-1945"
"1.2.1.2.5","NACA-TN-1998"
"1.2.1.2.5","NACA-TR-964"
"1.2.1.2.5","NACA-TN-2074"
"1.2.1.2.5","NACA-TN-2149"
"1.2.1.2.5","NACA-TN-2177"
"1.2.1.2.5","NACA-TM-1299"
"1.2.1.2.5","NACA-RM-E50K10a"
"1.2.1.3","NACA-RM-L50A10"
"1.2.1.3","NACA-TN-2149"
"1.2.1.4","NACA-TN-2041"
"1.2.1.4.1","NACA-TR-938"
"1.2.1.4.1","NACA-TR-947"
"1.2.1.4.1","NACA-TN-2018"
"1.2.1.4.1","NACA-TN-2172"
"1.2.1.4.1","NACA-TN-2221"
"1.2.1.4.1","NACA-TN-2278"
"1.2.1.4.2","NACA-TR-938"
"1.2.1.4.2","NACA-TN-1939"
"1.2.1.4.2","NACA-TN-1945"
"1.2.1.4.2","NACA-TR-964"
"1.2.1.4.2","NACA-TN-2177"
"1.2.1.4.3","NACA-TR-938"
"1.2.1.4.3","NACA-TN-2149"
"1.2.1.4.4","NACA-TN-2018"
"1.2.1.4.4","NACA-TN-2172"
"1.2.1.4.4","NACA-TN-2228"
"1.2.1.5","NACA-TR-927"
"1.2.1.5.1","NACA-TN-2221"
"1.2.1.6","NACA-TR-876"
"1.2.1.6","NACA-RM-A7C10"
"1.2.1.6","NACA-TR-909"
"1.2.1.6","NACA-RM-L8C22"
"1.2.1.6","NACA-TN-1946"
"1.2.1.6","NACA-TN-1961"
"1.2.1.6","NACA-TR-964"
"1.2.1.6","NACA-TN-2041"
"1.2.1.6","NACA-TN-2045"
"1.2.1.6","NACA-TN-2112"
"1.2.1.6","NACA-TN-2149"
"1.2.1.6","NACA-TN-2235"
"1.2.1.6","NACA-TN-2334"
"1.2.1.6","NACA-TN-2337"
"1.2.1.6.1","NACA-TN-2110"
"1.2.1.6.1","NACA-TM-1278"
"1.2.1.6.1","NACA-TN-2158"
"1.2.1.6.1","NACA-TN-2172"
"1.2.1.6.1","NACA-TN-2338"
"1.2.1.6.2","NACA-RM-L50A10"
"1.2.1.7","NACA-TR-876"
"1.2.1.7","NACA-TN-1945"
"1.2.1.7","NACA-TN-1998"
"1.2.1.7","NACA-TR-964"
"1.2.1.7","NACA-TR-990"
"1.2.1.7","NACA-RM-L50A10"
"1.2.1.7","NACA-TN-2074"
"1.2.1.7","NACA-TN-2149"
"1.2.1.7","NACA-TN-2338"
"1.2.1.8","NACA-TR-876"
"1.2.1.8","NACA-RM-A7C10"
"1.2.1.8","NACA-RM-L8C22"
"1.2.1.8","NACA-TR-947"
"1.2.1.8","NACA-TR-978"
"1.2.1.8","NACA-TR-990"
"1.2.1.8","NACA-TN-2009"
"1.2.1.8","NACA-TN-2096"
"1.2.1.8","NACA-TN-2130"
"1.2.1.8","NACA-TN-2174"
"1.2.1.8","NACA-TN-2196"
"1.2.1.8","NACA-TN-2339"
"1.2.1.8","NACA-TN-2350"
"1.2.2","NACA-TN-1955"
"1.2.2","NACA-TN-2093"
"1.2.2","NACA-TN-2249"
"1.2.2.1","NACA-TR-889"
"1.2.2.1","NACA-TR-892"
"1.2.2.1","NACA-TR-900"
"1.2.2.1","NACA-TR-902"
"1.2.2.1","NACA-TR-911"
"1.2.2.1","NACA-TR-921"
"1.2.2.1","NACA-TR-925"
"1.2.2.1","NACA-TN-1950"
