"ocrSubjNumR","ocrRepNo"
"1.1.3.3","NACA-TN-2729"
"1.1.3.3","NACA-TN-2818"
"1.1.3.3","NACA-TN-2866"
"1.1.3.3","NACA-TN-2917"
"1.1.4.1","NACA-TN-2480"
"1.1.4.1","NACA-TN-2686"
"1.1.4.1","NACA-TN-2861"
"1.1.4.1","NACA-TN-2914"
"1.1.4.1","NACA-TN-2917"
"1.1.4.1","NACA-RM-E53A22"
"1.1.4.2","NACA-TR-1020."
"1.1.4.2","RM-E7L31 NACA-RM-E8L03 NACA-RM-E50E23;"
"1.1.4.2","NACA-TR-1040."
"1.1.4.2","NACA-TN-2124"
"1.1.4.2","NACA-TN-2479"
"1.1.4.2","NACA-TN-2480"
"1.1.4.2","NACA-TM-1274.Trans."
"1.1.4.2","NACA-TN-2499"
"1.1.4.2","NACA-TR-1066 NACA-TN-2321"
"1.1.4.2","NACA-TR-1093."
"1.1.4.2","NACA-TN-2438"
"1.1.4.2","NACA-TN-2597"
"1.1.4.2","NACA-TN-2599"
"1.1.4.2","NACA-RM-E51J29"
"1.1.4.2","NACA-TN-2635"
"1.1.4.2","NACA-RM-E51J30"
"1.1.4.2","NACA-TN-2664"
"1.1.4.2","NACA-TN-2686"
"1.1.4.2","NACA-TN-2703"
"1.1.4.2","NACA-TN-2733"
"1.1.4.2","NACA-TM-1223.Trans.fromKoninklijkeNederlandsche"
"1.1.4.2","NACA-TM-1346.Trans.fromKoninklijkeNeder-"
"1.1.4.2","NACA-TN-2800"
"1.1.4.2","NACA-TN-2799"
"1.1.4.2","NACA-TN-2836"
"1.1.4.2","NACA-TN-2843"
"1.1.4.2","NACA-TN-2863"
"1.1.4.2","NACA-TN-2895"
"1.1.4.2","NACA-TN-2916"
"1.1.4.2","NACA-TN-2917"
"1.1.4.2","NACA-TN-2942"
"1.1.4.3","NACA-TR-1020."
"1.1.4.3","RM-E7L31 NACA-RM-E8L03 NACA-RM-E50E23;"
"1.1.4.3","NACA-TN-2436"
"1.1.4.3","NACA-TN-2466"
"1.1.4.3","NACA-TN-2480"
"1.1.4.3","NACA-TN-2518."
"1.1.4.3","NACA-TN-2686"
"1.1.4.3","NACA-TN-2690"
"1.1.4.3","NACA-TN-2710"
"1.1.4.3","NACA-RM-E52D17"
"1.1.4.3","NACA-TN-2855"
"1.1.4.3","NACA-TN-2856"
"1.1.4.3","NACA-TN-2938"
"1.1.5","NACA-TR-1032.NACA-TN-2244"
"1.1.5","NACA-TR-1093."
"1.1.5","NACA-TN-2438"
"1.1.5","NACA-TN-2630"
"1.1.5.1","UberdieStromungvonGaseninengenKanalen"
"1.1.5.1","NACA-TM-1301.Trans.from"
"1.1.5.1","NACA-TN-2546"
"1.1.5.1","NACA-TN-2568"
"1.1.5.1","NACA-TN-2609"
"1.1.5.1","NACA-TN-2818"
"1.1.5.1","NACA-TN-2895"
"1.1.5.2","NACA-TR-1032.NACA-TN-2244"
"1.1.5.2","NACA-TN-2423"
"1.1.5.2","NACA-TM-1301.Trans.from"
"1.1.5.2","NACA-TN-2546"
"1.1.5.2","NACA-TR-1093."
"1.1.5.2","NACA-TN-2438"
"1.2","NACA-TN-2754"
"1.2","NACA-TN-2611"
"1.2","NACA-TN-2950"
"1.2.1","NACA-TR-1033 NACA-TN-2100"
"1.2.1","NACA-TN-2476"
"1.2.1","NACA-TN-2495"
"1.2.1","NACA-TN-2533"
"1.2.1","NACA-TN-2607"
"1.2.1","NACA-TN-2670 NACA-RM-A7J23"
"1.2.1","NACA-TN-2849"
"1.2.1","NACA-TN-2901"
"1.2.1.1","NACA-RM-A9G18"
"1.2.1.1","NACA-RM-A9K02b"
"1.2.1.1","NACA-RM-L50E18"
"1.2.1.1","NACA-RM-L50H17a"
"1.2.1.1","NACA-TR-1014."
"1.2.1.1","NACA-TN-2121 NACA-RM-L8H30"
"1.2.1.1","NACA-TR-1041 NACA-TN-2221"
"1.2.1.1","NACA-TN-2461"
"1.2.1.1","NACA-TN-2451"
"1.2.1.1","NACA-TN-2527"
"1.2.1.1","NACA-TR-1063 NACA-TN-2264"
"1.2.1.1","NACA-TR-1095 NACA-TN-2339 NACA-TN-2588"
"1.2.1.1","NACA-TN-2623"
"1.2.1.1","NACA-TN-2646"
"1.2.1.1","NACA-TN-2726"
"1.2.1.1","NACA-TN-2729"
"1.2.1.1","NACA-TM-1351.Trans.fromAeronautical"
"1.2.1.1","ResearchInstitute.TokyoImperialUniv. NACA-TR-250."
"1.2.1.1","NACA-TN-2832"
"1.2.1.1","NACA-TN-2910"
"1.2.1.2","NACA-RM-L6K22"
"1.2.1.2","NACA-RM-A9E31"
"1.2.1.2","NACA-RM-L9L09"
"1.2.1.2","NACA-TN-2502"
"1.2.1.2","NACA-TN-2527"
"1.2.1.2","NACA-TN-2670 NACA-RM-A7J23"
"1.2.1.2","NACA-TM-1351.Trans.fromAeronautical"
"1.2.1.2","ResearchInstitute.TokyoImperialUniv. NACA-TR-250."
"1.2.1.2","NACA-TN-2825"
"1.2.1.2","NACA-TN-2910"
"1.2.1.2.1","NACA-TN-2591 NACA-RM-L7H12"
"1.2.1.2.1","NACA-TN-2775"
"1.2.1.2.1","NACA-TN-2824"
"1.2.1.2.1","NACA-TN-2908"
"1.2.1.2.2","NACA-RM-A50D04"
"1.2.1.2.2","NACA-TR-1041 NACA-TN-2221"
"1.2.1.2.2","NACA-TN-2405"
"1.2.1.2.2","NACA-TN-2591 NACA-RM-L7H12"
"1.2.1.2.2","NACA-TN-2619"
"1.2.1.2.2","NACA-TN-2484 NACA-RM-L6K12b"
"1.2.1.2.2","NACA-TN-2754"
"1.2.1.2.2","NACA-TN-2824"
"1.2.1.2.2","NACA-TN-2832"
"1.2.1.2.2","NACA-TN-2901"
"1.2.1.2.2","NACA-RM-A7H19"
"1.2.1.2.3","NACA-RM-L8J29"
"1.2.1.2.3","NACA-RM-A9E31"
"1.2.1.2.3","NACA-RM-A9G18"
"1.2.1.2.3","NACA-RM-A50D04"
"1.2.1.2.3","NACA-TR-1063 NACA-TN-2264"
"1.2.1.2.3","NACA-TN-2623"
"1.2.1.2.3","NACA-TN-2825"
"1.2.1.2.4","NACA-RM-A9K02b"
"1.2.1.2.5","NACA-RM-L8J29"
"1.2.1.2.5","NACA-TN-2405"
"1.2.1.2.5","NACA-RM-E52B12"
"1.2.1.2.5","NACA-TN-2824"
"1.2.1.2.5","NACA-TN-2903"
"1.2.1.2.5","NACA-TN-2904"
"1.2.1.2.5","NACA-TN-2931"
"1.2.1.2.5","NACA-TN-2952"
"1.2.1.3","NACA-RM-L6J30"
"1.2.1.3","NACA-RM-L6L16"
"1.2.1.3","NACA-RM-A7H19"
"1.2.1.3","NACA-RM-L7H04"
"1.2.1.3","NACA-RM-L7K06"
"1.2.1.3","NACA-RM-L8A23"
"1.2.1.3","NACA-RM-L9G20"
"1.2.1.3","NACA-RM-L9G19"
"1.2.1.3","NACA-RM-L50E18"
"1.2.1.3","NACA-TN-2405"
"1.2.1.3","NACA-TN-2502"
"1.2.1.3","NACA-TN-2712"
"1.2.1.3","NACA-TN-2824"
"1.2.1.3","NACA-TN-2847"
"1.2.1.4","NACA-RM-L8J29"
"1.2.1.4.1","NACA-RM-L6K22"
"1.2.1.4.1","NACA-RM-A7H19"
"1.2.1.4.1","NACA-RM-L7H04"
"1.2.1.4.1","NACA-RM-L7K06"
"1.2.1.4.1","NACA-RM-L9G20"
"1.2.1.4.1","NACA-RM-L50H17a"
"1.2.1.4.1","NACA-TR-1041 NACA-TN-2221"
"1.2.1.4.1","NACA-TN-2468"
"1.2.1.4.1","NACA-TR-1071."
"1.2.1.4.1","NACA-TN-2278"
"1.2.1.4.2","NACA-TN-2468"
"1.2.1.4.3","NACA-TN-2468"
"1.2.1.4.4","NACA-RM-L6K22"
"1.2.1.4.4","NACA-RM-L7H04"
"1.2.1.4.4","NACA-RM-L7K06"
"1.2.1.4.4","NACA-RM-L9G20"
"1.2.1.4.4","NACA-RM-L50H17a"
"1.2.1.4.4","NACA-TN-2715"
"1.2.1.4.5","NACA-RM-L9G20"
"1.2.1.5","NACA-RM-L8J29"
"1.2.1.5","NACA-TM-1306.Trans.from"
"1.2.1.5.1","NACA-RM-A7H19"
"1.2.1.5.1","NACA-TR-1041 NACA-TN-2221"
"1.2.1.5.1","NACA-TN-2486."
"1.2.1.5.1","NACA-TN-2551"
"1.2.1.6","NACA-RM-L8J29"
"1.2.1.6","NACA-RM-L9G19"
"1.2.1.6","NACA-RM-A9D04"
"1.2.1.6","NACA-TR-1025."
"1.2.1.6","NACA-TN-1905 NACA-TN-2112"
